"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-01","10.5","0","3","842","4.65","9.3","37.8","43.5","32.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-02","10.3","0","1","655","2.09","7.9","41.6","50.3","33.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-03","12.5","0","2","780","5.07","9.4","39.8","48.3","31.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-04","10.1","33","0","267","3.50","0.0","57.2","65.8","48.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-05","9.8","57","0","176","7.24","0.0","61.1","69.1","53.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-06","9.6","251","0","19","5.29","0.0","72.7","82.1","63.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-07","8.5","381","0","0","4.37","0.0","77.3","85.5","69.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-08","7.6","278","0","0","5.50","0.0","74.0","81.9","66.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-09","9.2","195","0","18","1.72","0.0","70.9","79.7","62.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-10","8.7","80","0","117","4.94","0.0","63.8","72.8","54.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-11","9.8","0","0","566","1.51","0.0","46.1","55.2","37.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2017-12","10.1","0","3","939","1.64","7.7","34.7","40.9","28.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-01","11.0","0","2","1053","2.06","10.1","31.0","39.5","22.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-02","8.9","3","1","662","5.74","3.4","41.4","50.0","32.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-03","13.0","0","2","763","4.49","13.2","40.4","47.5","33.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-04","11.0","6","1","474","5.84","5.0","49.4","58.1","40.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-05","8.3","119","0","61","3.80","0.0","66.9","76.1","57.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-06","8.5","222","0","10","1.88","0.0","72.1","81.5","62.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-07","8.3","409","0","0","6.30","0.0","78.2","87.0","69.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-08","8.3","439","0","0","5.88","0.0","79.2","87.0","71.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-09","8.1","217","0","26","5.65","0.0","71.4","77.8","64.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-10","9.6","55","0","292","2.83","0.0","57.4","65.0","49.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-11","10.7","4","1","641","7.95","6.4","43.8","50.6","36.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2018-12","9.4","0","0","793","7.09","0.0","39.4","45.9","32.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-01","11.2","0","0","1025","3.79","0.9","31.9","39.5","24.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-02","10.7","0","2","811","3.89","4.8","36.0","43.5","28.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-03","10.3","0","3","745","4.20","9.9","41.0","48.8","33.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-04","10.3","14","0","302","3.78","0.0","55.4","64.1","46.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-05","8.9","67","0","112","7.32","0.0","63.6","72.0","55.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-06","9.2","236","0","5","6.00","0.0","72.7","81.3","64.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-07","8.1","484","0","0","6.82","0.0","80.6","89.5","71.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-08","7.4","348","0","0","5.94","0.0","76.2","84.1","68.3",
